12.27.19,1.14.19,9.30.19,7.22.19,12.31.18,12.31.17,12.27.19,2.17.20
Rory Sabbatini,4/2/76,67,197, , ,149,,85,101,wild resurgence season in 2019,Arizona,Texas,Fort Woth - TX
Si Woo Kim,6/28/95, ,64, , ,66,118,96,121,bad putter; worse on poa,South Korea,Texas,Dallas - TX
Jim Furyk,5/12/70,64,224, , ,94,125,56,78,game still holds up on the grand stage,Arizona,Florida,Ponte Vedra Beach - FL
Bud Cauley,3/16/90,43,223, , ,67,44,169,142,Rickie Fowler type - just needs convert some of those top 25s into top 10s and then start honing in on his first TOUR win.,Alabama,Florida,Daytona Beach - FL
Patrick Rodgers,6/30/92,100,146, , ,65,99,363,236,not bermuda,Stanford,Florida,Palm Beach - FL
Luke Donald,12/7/77,187,652, , ,,108,433,452,shortknocker from High Wycombe - England,Northwestern,Florida,Jupiter - FL
Max Homa,11/19/90,41,854, , ,,,128,74,won 2019 Wells Fargo,UCLA,Arizona,Scottsdale - AZ
Maverick McNealy,11/7/95,99,665, , ,,,417,259,won 11 times at Stanford - makes a lot of birdies,Stanford,Nevada,Summerlin - NV
Christiaan Bezuidenhout,5/18/94,37,, ,,,,89,48,won on Euro Tour 2019,South Africa,South Africa,South Africa
Russell Knox,6/21/85,80,66, , ,70,114,113,115,not the longest off the tee but he brings an otherwise well-rounded game to the table,Jacksonville,Florida,Jacksonville - FL
Zach Johnson,2/24/76,116,69, , ,42,33,198,236,old reliable (the putter) that let him down - finishing 117th in SG Putting 2019.,Drake,Iowa,Cedar Rapids - IA
Graeme McDowell,6/30/79,117,240, , ,,93,119,47,Lives in Orlando - FL,Alabama at Birmingham,Florida,Orlando - FL
Alex Noren,7/12/82,87,21, , ,29,91,73,96,ball striking off,OSU,Oklahoma,Stillwater - OK
Scott Piercy,11/6/78,86,133, , ,79,,107,92,plays bad in FL; Ranked top 80 in all four sub-categories of strokes gained 2019,SDSU,Nevada,Las Vegas - NV
Charles Howell III,6/20/79,77,55, , ,40,54,57,69,ball striker,OSU,Florida,Orlando - FL
Russell Henley,4/12/89,118,99, , ,63,23,216,229,likes bermuda - ended 2019 ranked 162nd in SG Putting,Georgia,South Carolina,Kiawah Island - SC
Chez Reavie,10/12/81,65,54, ,27,57,45,36,34,most accurate golfer on TOUR,ASU,Arizona,Scottsdale - AZ
Danny Lee,6/24/90,91,95, , ,80,97,92,107,ended fall 2019  with his arrows pointing up (RUNNER-UP at CJ CUP - T10 at ZOZO - and T26 at Mayakoba,New Zealand,Texas,Irving - TX
Ryan Moore,12/5/82,52,81, , ,43,60,94,105,best on poa; ended 2019 16th in SG APP,UNLV,Washington,Tacoma - WA
Matthew Wolff,4/14/99,99,,113,138,,,102,110,3M Open 2019 champ,OSU,California,West Lake - CA
Brendon Todd,7/22/85,71,,83, ,,,58,58,ball-striking numbers aren't well-suited for most TOUR courses,Georgia,Georgia,Atlanta - GA
Kevin Streelman,11/4/78,103,194, , ,107,83,120,88,steady results; 2 PGA Tour wins 2013 & 2014,Duke,Arizona,Scottsdale - AZ
Jason Dufner,3/24/77,158,125, , ,108,53,251,302,putting improved.  born in Cleveland - OH,Auburn,Alabama,Auburn - AL
Emiliano Grillo,9/14/92,127,48, , ,21,70,103,135,finished 2019 a career-worst 185th in SG Putting. Remains elite off-the-tee and on approach.,mini tours in Argentina,Florida,Bradenton - FL
Charley Hoffman,12/27/76,107,59, , ,97,32,155,167,back issues - drop in 2019 performance is largely in ball-striking categories,UNLV,California,San Diego - CA
Erik van Rooyen,2/21/90,55,145, , ,,,50,52,Euro Tour,Minnesota,South Africa,South Africa
Talor Gooch,11/14/91,75,346, , ,,,207,168,breakout candidate,OSU,Oklahoma,Midwest City - OK
Harry Higgs,12/4/91,72,, ,142,,,142,136,Racked up a gaudy amount of top 25s on KFT 2019 (13 in 22 starts).,SMU,Texas,Dallas - TX
C.T. Pan,11/12/91,202,101, , ,59,111,69,87,Taiwan; elite amateur pedigree,Washington,Washington,Bellevue - WA
Andrew Landry,8/7/87,120,105, , ,122,100,219,109,won 2018 Valero Texas Open,Arkansas,Texas,Austin - TX
Brian Stuard,12/10/82,142,241, , ,132,,132,139,one of the shorter hitters on TOUR but above average from fairway to pin to make up for the lack of pop,Oakland,Mississippi,Jackson - MI
Chesson Hadley,7/5/87, ,65, , ,68,90,164,195,worse on bent,Georgia Tech,North Carolina,Raleigh - NC
Charl Schwartzel,8/31/84,155,84, , ,72,37,215,195,good at Par 5s,South Africa,South Africa,South Africa
Tom Hoge,5/25/89,54,272, , ,89,,237,146,good start 2020 wrap around season,TCU,North Dakota,Fargo - ND
Sebastian Munoz,1/4/93,46,250, ,108,,,106,104,16-for-26 in 2019 but really blossomed this fall with a win at the Sanderson Farms Championship.,North Texas,Colombia,Bogota - Colombia
Sung Kang,6/4/87,138,178, , ,127,56,86,54,good on a few certain courses.  Heavy schedule,South Korea,Texas,Grapevine - TX
Matt Wallace,4/12/90,149,44, ,25,,,30,41,Can get a little wild with the driver at times but he gained strokes off-the-tee in 77% of his measured rounds last season which is top 15 on TOUR.,Jacksonville St (1 year),Florida,Jacksonville - FL
Andrew Putnam,1/25/89,78,45, , ,84,,48,60,now more selective with number of starts,Pepperdine,Arizona,Phoenix - AZ
Danny Willett,10/3/87,70,79, , ,,,29,31,Back in great form and made 19 starts on the PGA TOUR 2019,Jacksonville State,Florida,Jacksonville - FL
Jhonattan Vegas,8/19/84,90,127, , ,124,94,154,165,13 top 10s over the last four seasons - 2nd SG OTT in 2019,Venezuela,Texas,Houston - TX
Keith Mitchell,1/7/92,95,143, , ,64,,99,114,ended 2019 with just one top 35 in his last 14 starts. It's really just a short-game issue so there is no reason to pull the plug yet,Georgia,Georgia,St. Simons Island - GA
Dylan Frittelli,6/5/90,102,74, , ,55,,104,118,South African.  driver gives him a strong floor in terms of making cuts,Texas,Texas,Austin - TX
Jazz Janewattananond,11/26/95, ,111, , ,,,40,39,when his game is on - he can compete with the best in the world,Thailand,Thailand,Thailand
Matthew Nesmith,9/29/93,96,, ,,,,288,219,great iron player,South Carolina,South Carolina,Aiken - SC
Troy Merritt,10/25/85,132,172, , ,125,,138,154,Steady option; went 14-for-21 with nine top 25s in 2019.,Boise State,Idaho,Meridian - ID
Matt Jones,4/19/80,89,273, , ,150,,102,93,17-for-27 record with six top 25s in 2019,ASU,Australia,Sydney - Australia
Aaron Baddeley,3/17/81,104,285, ,217,,121,249,254,one of the best short games in the world,mini tours,Arizona,Scottsdale - AZ
Wyndham Clark,12/9/93,111,364, , ,,,161,161,grades out extremely well off-the-tee - around-the-green - and putting,Oregon,Colorado,Denver - CO
Sam Burns,7/23/96,143,126, , ,88,,204,188,Big hitter  in the top tier of SG Off-the-Tee and Putting,LSU,Louisiana,Shrevport - LA
Jimmy Walker,1/16/79,152,90, , ,106,72,224,268,Houston guy,Baylor,Texas,Boerne - TX
Adam Long,9/25/87,82,133, , ,,,116,112,just short game that is holding him back from being an elite player,Duke,Missouri,St. Louis - MO
Denny McCarthy,3/4/93,83,177, , ,110,,144,163,great putter; 2018 numbers suggested he was underperforming and the results started to catch up in 2019,Virginia,Maryland,Takoma Park - MD
Nick Watney,4/25/81,139,144, , ,87,123,179,220,3 top 10s in 2019,Cal State,California,Dixon - CA
Mackenzie Hughes,11/23/90, ,398, , ,134,110,260,303,poor 2018 - but good 2017 & 2019.  From Dudas - ON - Canada,Kent State,North Carolina,Charlotte - NC
Lanto Griffin,6/15/88,63,401, , ,,,118,89,ended the KFT 2019 with top 25s in 10 of his last 14 starts and then snowballed it into six straight top 25s on the PGA TOUR - including a breakthrough win at the Houston Open.  Great putter - slightly above average elsewhere.,VCU,California,Mount Shasta - CA
Tyler Duncan,7/13/89,190,407, , ,136,,170,173,basically an average tour player that once and a while gets hot. But he mostly misses the cut or finishes outside the top 40.,Purdue,Indiana,Columbus - IN
Pat Perez,3/1/76,128,68, , ,81,30,127,133,poa; looked like himself again fall 2019 with a pair of top 10s in five starts.,ASU,Arizona,Scottsdale - AZ
Carlos Ortiz,4/24/91,60,347, , ,,,145,143,terrible putter from Guadalajara - Mexico,North Texas,Texas,Dallas - TX
Vaughn Taylor,3/9/76,50,253, , ,148,104,105,97,Stay on for the ride until his putter cools off.,Augusta State,Georgia,Augusta - GA
Doc Redman,12/27/97,122,1356, , ,,,156,158,should win in 2020 - impressive driving stats,Clemson,North Carolina,Raleigh - NC
Mark Hubbard,5/24/89,125,1046, , ,,,189,178,went 7-for-8 this fall including a trio of top 15s. The highlight was a T2 at the Houston Open,San Jose State,Colorado,Denver - CO
Adam Schenk,1/26/92,98,279, , ,126,,226,213,20-for-31 record that including nine top 25s. He gained strokes off-the-tee - on approach - and putting in 2019.,Purdue,Indiana,Vincennes - IN
Peter Malnati,6/13/87,177,302, , ,117,,281,238,bad driving going to make it hard to consistently make cuts,Missouri U,Tennessee,Knoxville - TN
Kyle Stanley,11/19/87,137,33, , ,48,41,110,149,need putt better,Clemson,Washington,Gig Harbor - WA
Stewart Cink,5/21/73,140,86, , ,114,69,196,233,went 3-for-3 during the fall with a T28 - T9 - and T32 at the Sanderson - Houston - and RSM,Georgia Tech,Georgia,Duluth - GA
Kevin Chappell,7/8/1986,169,77, , ,,31,366,445,terrible putter,UCLA,California,Fresno - CA
Wesley Bryan,3/26/90, ,301, , ,,98,1262,1447,Bad Driver - great wedges,USC,South Carolina,Columbia - SC
Aaron Wise,6/21/96,105,52, , ,25,79,111,145,really just a drop off in putting that caused the decline in 2019.  Look for him to get right back on track in 2020,Oregon,Nevada,Las Vegas - NV
Victor Perez,9/2/92,48,,,,,,45,38,Euro Tour,New Mexico,Scotland,Dundee - Scotland
Nate Lashley,12/12/82,135,479, ,82,,,87,76,short hitter and fairly average in the accuracy department,Arizona,Arizona,Scottsdale - AZ
Scott Stallings,3/25/85,159,219, , ,118,113,252,292,relies on 3-to-5 top 15s per season to keep his card,Tennessee Tech,Tennessee,Oak Ridge - TN
Bronson Burgoon,6/2/87,93,104, , ,82,,183,225,finds a way to catch fire for a couple of events per year,Texas A&M,Texas,The Woodlands - TX
Brian Gay,12/14/71,199,136, , ,135,120,172,199,4 career wins ar Mayakoba - Heritage - TPC Southwind - and PGA West,Florida,Florida,Windermere - FL
Michael Thompson,4/16/85,165,317, , ,145,,205,247,younger version of Brian Gay,Alabama,Arizona,Tucson - AZ
Cameron Tringale,8/24/87,87,589, , ,,,221,200,Mission Viejo - CA - seemed to snap out of slump at the end of 2019,Georgia Tech,Florida,Palm Beach Gardens - FL
Ernie Els,10/17/69, ,525, , ,,,452,486,Too old - South African,South Africa,Florida,Jupiter - FL
Kevin Tway,7/23/88,150,82, , ,74,76,126,140,best on bent.  One of the longest hitters on tour - but needs to clean up some loose tee shots,OSU,Oklahoma,Edmond - OK
Brice Garnett,9/6/83,100,114, , ,85,,203,245,won 2018 Corales Puntacana on PGA Tour.  on the shorter side OTT,Missouri Western State University,Missouri,Gallatin - MO
Bill Haas,5/24/82, ,213, , ,,43,459,521,injury?,Wake Forrest,North Carolina,Charlotte - NC
Bernhard Langer,8/27/57, ,774, , ,,,1158,1262,Germany,,Florida,Boca Raton - FL
Patton Kizzire,3/3/86, ,88, , ,123,,306,364,2 wins 2018 PGA Tour,Auburn,Georgia,Sea Island - GA
Scott Brown,5/22/83, ,326, , ,143,84,326,157,won 2013 Puerto Rico,South Carolina Aiken,South Carolina,Aiken - SC
Matt Every,12/4/83, ,582, , ,,,289,293,won Bay Hill 2 years in a row,Florida,Florida,Jacksonville Beach - FL
Austin Cook,3/13/91,249,117, , ,54,50,258,318,good putter; best on poa,Arkansas,Arkansas,Jonesboro - AR
Ryan Armour,2/27/76,222,107, , ,128,117,184,223,one of the shortest hitters on the PGA TOUR with below average putting stats.. fairways and greens makes cuts,Ohio State,Ohio,Silver Lake - OH
Sam Ryder,12/15/89,162,152, , ,73,,256,283,bad putter; worse on poa,Stetson,Florida,Atlantic Beach - FL
Sepp Straka,5/1/93,173,427, , ,,,208,182,won on 2018 KFT,Georgia,Georgia,Athens - GA
David Hearn,6/17/79,189,492, , ,,,406,408,former belly putter,Wyoming,Canada,Brantford - ON - Canada
Chris Stroud,2/3/82, ,284, , ,,,250,282,won 2016 Barracuda,Lamar,Texas,Houston - TX
Roger Sloan,5/15/87,269,435, , ,,,245,273,2014 & 2018 Web Grad,Texas at el paso,Canada,Merritt - Canada
Jim Herman,11/5/77, ,673, , ,,,310,300,born and raised in Cincy,Cincinnati,Florida,Palm City - FL
Michael Kim,7/14/93, ,270, , ,96,101,698,802,won 2018 John Deere,California,Texas,Houston - TX
Vijay Singh,2/22/63, ,869, , ,,,750,815,well at PGA National,Fiji,Florida,Ponta Vedra Beach - FL
Davis Love III,4/13/64, ,538, , ,,,753,807,,UNC,Georgia,St. Simons Island - GA
Martin Trainer,4/14/91, ,295, , ,,,350,374,2019 Puerto Rico Champ.  missed 14 consecutive cuts dating back to the beginning of May 2019.  From Marseille - France,USC,California,Palo Alto - CA
Michael Gligic,9/19/89, ,, ,,,,446,461,turned pro 2008,,Canada,Kitchener - ON - Canada
Bo Van Pelt,5/16/1975, ,,2073,,,,2087,2087,"6'4""",OSU,Oklahoma,Tulsa - OK
Scottie Scheffler,6/21/96,23,1629, , ,,,51,51,one of the premier ball-strikers on the PGA TOUR,Texas,Texas,Dallas - TX
Marc Leishman,10/24/83,20,16, ,26,22,9,19,20,lingering health concerns to worry about,Brauer College,Virginia,Virginia Beach - VI
Kevin Na,9/15/83,45,50, ,33,60,55,27,28,neck pain lingering,mini tours,Nevada,Las Vegas - NV
Byeong Hun An,9/17/91,30,53, , ,31,49,47,50,Only Snedeker gained strokes around-the-green more consistently than An last season (Snedeker 73% of measured rounds vs An's 71%). An was also top 35 in SG Off-the-Tee and SG Approach to form the perfect Tee-to-Green machine. I'd say he's finally comfortable playing on the PGA TOUR and ready to take the next step and become a PGA TOUR winner in 2020.,Cal Berkley,Florida,Orlando - FL
Phil Mickelson,6/16/70,124,34, ,30,30,24,55,58,wait for consistent ball striking,ASU,California,Rancho Santa Fe - CA
Brendan Steele,4/5/1983,126,116, , ,116,26,388,139,terrible 2019,Cal,California,Idyllwild - CA
Keegan Bradley,6/7/86,121,31, ,31,41,52,51,59,lost strokes putting in 61% of rounds measured over 2019.,St. Johns,Florida,Jupiter - FL
Cameron Champ,6/15/95,112,80, , ,26,,75,79,worse on poa,Texas A&M,Texas,San Antonio - TX
Beau Hossler,3/16/95,123,91, , ,44,80,179,202,from Mission Vejo - CA.  One of the best putters on TOUR but wild off the tee.,Texas,Texas,Austin - TX
Tom Lewis,1/5/91,130,67, , ,,,54,57,had a decline in form for several years.  Stormed the KFT Championship to earn his card for 2020.,,England,Welwyn Garden City - United Kingdom
Chris Kirk,5/8/85,192,166, , ,69,,359,450,hates Poa,Georgia,Georgia,St. Simons Island - GA
Cameron Davis,2/21/95,113,113, , ,104,,360,252,won on Web.com May 2018,Australia,Australia,Sydney - Australia
Robby Shelton,8/25/95,220,, ,135,,,157,175,won twice on the KFT in 2019 and also settled for a playoff loss in another event.  has the all-around game,Alabama,Alabama,Wilmer - AL
Peter Uihlein,8/29/89,226,87, , ,71,48,257,349,good 2017,OSU,Florida,Jupiter - FL
Steve Stricker,2/23/67,108,249, , ,,86,722,782,still has game,Illinois,Wisconsin,Edgerton - WI
Zac Blair,8/20/90,161,796, , ,,,218,204,"5'6"" - won on 2019 KFT",BYU,Utah,Saint George - UT
Tyler McCumber,4/4/91, ,310, , ,,,373,371,history of winning.  3 times on Latino and 3 in Canada.  Father Mark won 10 times on Tour,Florida Gator,Florida,Jacksonville Beach - FL
Kramer Hickok,4/14/92,216,170, , ,99,,227,251,in 2019 finished top 40 in Strokes Gained Off-the-Tee and SG Around-the-Green,Texas,Texas,Dallas - TX
Josh Teater,4/6/79,198,429, , ,,,307,351,turned pro in 2001,Morehead State,Kentucky,Danville - KY
Doug Ghim,4/16/96, ,700, , ,,,413,485,short hitter - lives with Mav McNealy,Texas,Illinois,Des Plaines - IL
Henrik Norlander,3/25/87,194,450, , ,,,248,215,one of the most accurate on Tour - but doesn't bomb it.  sweedish,Augusta State,Georgia,Augusta - GA
J.J. Henry,4/2/75, ,624, , ,,,954,1022,,TCU,Texas,Fort Worth - TX
Chad Campbell,5/31/74, ,296, , ,,107,594,652,,UNLV,Texas,Colleyville - TX
John Senden,4/20/71, ,855, , ,,,1209,1259,PGA Tour of Australia,Australia,Australia,Brisbane - Australia
Scott McCarron,, ,2006,2073, ,,,2072,2087,,,California,Sacremento - CA
Scott Harrington,11/16/80,196,, ,,,,210,226,from Eugene - OR.  poor long term stats,Northwestern,Arizona,Scottsdale - AZ
Keith Clearwater,9/1/59, ,2006,2073,2066,,,2072,2087,,BYU,California,Long Beach - CA
Tom Lehman,3/7/59, ,2006,2073, ,,,2072,2087,,Minnesota,Arizona,Scottsdale - AZ
Francesco Molinari,11/8/82,167,9, ,9,23,22,21,25,made caddy change in October 2019,Italy,Italy,Turin - Italy
Kiradech Aphibarnrat,7/23/89,164,37, , ,50,,100,132,knee injury April 2019,Thailand,Thailand,Bangkok - Thailand
Trey Mullinax,6/29/92, ,266, , ,92,,369,462,long hitter,Alabama,Alabama,Gardendale - AL
Martin Kaymer,12/28/84,81,175, , ,,66,125,112,bad chipping,Germany,Germany,Scottsdale - AZ
Shawn Stefani,12/2/81,215,338, , ,146,,331,384,played on mini-tours until 2012 - when he joined the Web.com Tour and won twice,Lamar,Texas,Houston - TX
Seamus Power,3/4/87, ,366, , ,129,92,441,467,Irish,East Tennessee State University,North Carolina,Charlotte - NC
JT Poston,6/1/93,51,313, , ,91,,77,73,making cuts at a high rate (34-for-50 over his first two seasons and 21-for-29 last season). How does he get the job done? He's above average in every sub-category of strokes gained. A balanced attack is hard to argue with.,Western Carolina,Georgia,St. Simons Island - GA
Martin Laird,12/29/82,129,216, , ,83,57,327,370,good putter; best on poa; Scottish,Colorado State,Arizona,Scottsdale - AZ
Kyoung Hoon Lee,8/24/91,133,355, , ,,,300,243,bad putter,South Korea,South Korea,Goyang City - Korea
Ollie Schniederjans,6/15/93, ,192, , ,86,39,560,620,Born in Dallas - TX,Georgia Tech,Georgia,Powder Springs - GA
Nick Taylor,4/14/88,53,316, , ,101,73,236,103,most consistent season of his career (21-for-28) in 2019 - could have breakout year in 2020,Washington,Canada,Winnipeg - Canada
Jonas Blixt,4/24/84, ,438, , ,137,,294,290,bounced back in 2019 after poor 2018,Florida State,Florida,Jacksonville Beach - FL
Ben Crane,3/6/76, ,397, , ,,,582,657,,Oregon,Texas,Westlake - TX
Ryan Blaum,10/16/83, ,267, , ,113,,474,523,2 Latino wins,Duke,Florida,Orlando - FL
David Toms,1/4/67, ,, , ,,,1462,1465,,LSU,Louisiana,Shreveport - LA
Anirban Lahiri,6/29/87,225,150, , ,100,82,397,457,Indian,India,Florida,Palm Beach Gardens - FL
Ben Silverman,11/15/87, ,297,522, ,,102,605,588,Toronto - Canada,Florida Atlantic,Florida,West Palm Beach - FL
Richy Werenski,12/22/91,145,164, , ,103,,240,288,126th in 2018 - but got it back quickly in Korn Ferry Tour Finals 2019,Georgia Tech,Florida,Jupiter - FL
Scott Langley,4/28/89, ,306, , ,140,,463,531,made cut at 2010 US Open as amateur,Illinois at Urbana-Champaign,Illinois,Barrington - IL
Ted Potter Jr.,11/9/83, ,102, , ,130,,339,326,60 mini tour wins,mini tours,Florida,Silver Springs - FL
Hudson Swafford,9/9/87, ,214, , ,95,75,422,353,won 2017 CareerBuilder,Georgia,Georgia,St. Simons Island - GA
Whee Kim,2/2/92, ,137, , ,98,96,550,668,bad lately,Yonsei,South Korea,South Korea
Dominic Bozzelli,5/22/91, ,293, , ,,,435,492,better on bermuda,Auburn,New York,Rochester - NY
Colt Knost,6/26/85, ,2006, , ,,,1344,1349,,SMU,Arizona,Scottsdale - AZ
Boo Weekley,7/23/73, ,, , ,,,815,825,,Abraham Baldwin,Florida,Jay - FL
Tyrone van Aswegen,1/6/82, ,480, , ,,,1002,1135,South African,Oklahoma City,Texas,Dallas - TX
Tim Herron,2/6/70, ,825, , ,,,1405,1563,4 PGA Tour wins 1996-2006,New Mexico,Minnesota,Minneapolis - MN
Kenny Perry,8/10/60, ,2006,2073,2066,,,2072,2087,,,Kentucky,Elizabethtown - KY
Rod Pampling,9/23/69, ,835, , ,,,1303,1370,3 PGA Tour wins,Australia,Australia,Australia
Dru Love,12/2/93, ,2006,2073,2066,,,1541,1560,Davis Love III Son.  - U of Alabama,,Georgia,Sea Island - GA
Mike Weir,5/12/70, ,1693, , ,,,2072,1584,irrelevant,,Canada,Sandy - UT
Tom Purtzer,12/5/51, ,,2073, ,,,2072,2087,,ASU,Arizona,Scottsdale - AZ
Tucker Wadkins,, ,,2073,2066,,,2072,2087,,Arizona,Texas,Dallas - TX
Adam Scott,7/16/80,11,42, ,15,33,28,7,7,terrible putter,UNLV,Australia,Queensland - Australia
Tommy Fleetwood,1/19/91,12,14, ,16,13,20,10,11,wind player; Euro Kuch,England,England,Southport - England
Lee Westwood,4/24/73,66,63, , ,,,59,30,Euro only now,England,Florida,West Palm Beach - FL
Thomas Pieters,1/27/92,68,76, , ,,36,82,70,poor form,Illinois,Belgium,Belgium
